city,temperature,windspeed,weathercode,timestamp
Paris,30.7,10.6,0,2025-07-02T10:35:09.085023
London,19.3,9.4,61,2025-07-02T10:35:09.212412
Berlin,33.6,7.9,0,2025-07-02T10:35:09.331384
Paris,30.7,10.6,0,2025-07-02T10:35:12.335550
London,19.3,9.4,61,2025-07-02T10:35:12.456169
Berlin,33.6,7.9,0,2025-07-02T10:35:12.582544
Paris,30.7,10.6,0,2025-07-02T10:35:42.462162
London,19.3,9.4,61,2025-07-02T10:35:42.593971
Berlin,33.6,7.9,0,2025-07-02T10:35:42.721109
Paris,21.2,11.6,0,2025-07-03T21:36:11.345964
London,21.4,8.6,1,2025-07-03T21:36:11.442723
Berlin,18.9,8.1,1,2025-07-03T21:36:11.538567
